Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,122.800003,123.750000,111.000000,114.699997,107.949486,1572363
2012-01-03,117.500000,120.900002,115.000000,120.300003,113.219917,1385662
2012-01-04,121.000000,123.500000,118.000000,122.849998,115.619843,1259249
2012-01-05,122.000000,127.599998,121.300003,126.699997,119.243248,788405
2012-01-06,126.250000,128.750000,124.300003,127.699997,120.184387,1036623
2012-01-07,null,null,null,null,null,null
2012-01-09,128.699997,133.399994,126.000000,132.199997,124.419556,848300
2012-01-10,133.850006,137.000000,132.850006,136.449997,128.419449,869679
2012-01-11,136.000000,140.699997,134.750000,137.050003,128.984100,1810746
2012-01-12,137.500000,137.500000,131.199997,132.649994,124.843056,1748799
2012-01-13,132.500000,133.000000,129.550003,131.550003,123.807808,1099713
2012-01-16,131.550003,131.550003,131.550003,131.550003,123.807808,0
2012-01-17,137.100006,141.000000,135.000000,140.000000,131.760483,1636196
2012-01-18,142.000000,143.800003,138.699997,141.699997,133.360458,890591
2012-01-19,144.000000,150.550003,143.149994,149.399994,140.607239,1456077
2012-01-20,151.899994,157.600006,150.250000,155.399994,146.254166,1634070
2012-01-23,155.399994,155.399994,145.100006,146.750000,138.113235,1657609
2012-01-24,147.050003,152.899994,145.600006,150.050003,141.219009,1337362
2012-01-25,150.949997,150.949997,142.250000,143.199997,134.772171,1859617
2012-01-27,145.800003,149.649994,144.800003,147.100006,138.442673,1264483
2012-01-30,147.100006,147.399994,137.350006,138.399994,130.254684,757694
2012-01-31,138.949997,148.500000,137.000000,146.250000,137.642639,1291344
2012-02-01,146.550003,147.750000,142.149994,143.899994,135.430939,899183
2012-02-02,144.500000,151.800003,144.500000,151.000000,142.113098,2355597
2012-02-03,151.000000,152.699997,148.250000,150.250000,141.407257,814359
2012-02-06,152.850006,152.850006,146.300003,148.100006,139.383789,1518103
2012-02-07,149.149994,149.449997,137.850006,139.149994,130.960510,1735290
2012-02-08,139.000000,143.300003,136.600006,140.300003,132.042831,1532614
2012-02-09,139.649994,141.800003,135.199997,137.949997,129.831131,1907732
2012-02-10,138.149994,144.149994,137.199997,142.899994,134.489807,1780060
2012-02-13,143.949997,144.300003,141.000000,143.050003,134.914230,718239
2012-02-14,143.300003,145.550003,142.000000,144.149994,135.951645,1580236
2012-02-15,145.000000,147.949997,144.149994,147.149994,138.781036,886834
2012-02-16,147.449997,149.899994,145.750000,147.600006,139.205490,856476
2012-02-17,149.000000,152.899994,145.750000,150.500000,141.940536,1749511
2012-02-21,151.199997,155.750000,150.649994,152.649994,143.968246,1744030
2012-02-22,155.750000,157.750000,142.399994,143.850006,135.668747,1863666
2012-02-23,142.000000,145.399994,140.500000,144.050003,135.857361,1533912
2012-02-24,145.050003,146.500000,141.000000,142.699997,134.584122,527338
2012-02-27,144.399994,145.149994,137.250000,143.649994,135.480087,947560
2012-02-28,144.800003,149.449997,144.100006,148.100006,139.677002,629276
2012-02-29,149.750000,152.000000,145.250000,148.649994,140.195724,627017
2012-03-01,148.000000,152.000000,144.000000,146.850006,138.498123,370864
2012-03-02,147.500000,150.000000,144.000000,147.350006,138.969696,497666
2012-03-03,null,null,null,null,null,null
2012-03-05,147.000000,147.050003,142.399994,143.199997,135.055695,264293
2012-03-06,144.649994,147.000000,140.649994,143.550003,135.385818,502716
2012-03-07,141.050003,146.649994,141.050003,145.250000,136.989120,389292
2012-03-09,146.300003,148.500000,129.750000,135.000000,127.322098,5833743
2012-03-12,135.000000,137.300003,128.399994,129.899994,122.512108,5786647
2012-03-13,125.000000,133.949997,125.000000,131.100006,123.643875,5344550
2012-03-14,132.050003,137.250000,132.050003,135.750000,128.029388,2528804
2012-03-15,136.000000,136.000000,130.399994,132.050003,124.539825,1691856
2012-03-16,132.750000,135.750000,130.250000,133.149994,125.577293,1024696
2012-03-19,133.449997,133.850006,130.850006,131.850006,124.351212,886890
2012-03-20,131.850006,133.300003,129.449997,132.350006,124.822800,1991819
2012-03-21,131.399994,132.600006,130.250000,131.149994,123.691002,1329184
2012-03-22,132.850006,133.199997,124.800003,125.900002,118.739609,2489358
2012-03-23,125.099998,127.949997,120.750000,123.449997,116.428955,4212337
2012-03-26,123.000000,123.699997,119.050003,120.550003,113.693893,1124699
2012-03-27,121.550003,123.000000,118.250000,121.500000,114.589851,1098462
2012-03-28,121.500000,121.500000,117.000000,118.250000,111.524696,1756343
2012-03-29,118.000000,125.500000,116.099998,124.199997,117.136299,2869127
2012-03-30,124.500000,130.000000,124.099998,129.500000,122.134865,1405080
2012-04-02,129.399994,132.699997,128.600006,129.500000,122.134865,773104
2012-04-03,129.500000,132.399994,125.099998,129.399994,122.040550,598189
2012-04-04,129.399994,132.250000,128.300003,131.649994,124.162567,763340
2012-04-09,131.050003,136.250000,129.649994,133.750000,126.143150,1171110
2012-04-10,134.300003,134.699997,131.000000,131.949997,124.445534,364048
2012-04-11,130.100006,133.449997,125.449997,127.349998,120.107147,607896
2012-04-12,129.699997,131.000000,127.800003,128.250000,120.955948,567378
2012-04-13,129.850006,130.899994,128.750000,129.899994,122.512108,573117
2012-04-16,129.899994,130.949997,128.649994,128.899994,121.568993,225281
2012-04-17,130.000000,130.949997,128.649994,129.649994,122.276344,429108
2012-04-18,130.750000,133.899994,129.199997,129.750000,122.370659,594109
2012-04-19,130.300003,135.399994,129.399994,134.100006,126.473251,845571
2012-04-20,134.000000,137.199997,129.949997,130.649994,123.219467,1357915
2012-04-23,130.000000,131.600006,126.699997,127.250000,120.012833,671276
2012-04-24,128.699997,130.000000,126.199997,128.649994,121.333214,487818
2012-04-25,130.000000,131.949997,127.650002,129.649994,122.276344,939012
2012-04-26,130.100006,131.500000,124.050003,124.599998,117.513542,1267245
