Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,1914.800049,1918.800049,1797.550049,1838.849976,1302.301147,910326
2012-01-03,1860.000000,1884.650024,1801.000000,1828.449951,1294.935425,628569
2012-01-04,1822.099976,1827.900024,1765.099976,1786.449951,1265.190796,666616
2012-01-05,1786.449951,1843.000000,1782.099976,1828.250000,1294.793823,626928
2012-01-06,1822.099976,1822.099976,1724.750000,1735.000000,1228.752808,1034818
2012-01-07,null,null,null,null,null,null
2012-01-09,1727.900024,1735.000000,1704.000000,1728.400024,1224.078613,469866
2012-01-10,1734.000000,1779.949951,1731.000000,1775.400024,1257.364990,649518
2012-01-11,1780.000000,1828.000000,1779.500000,1809.300049,1281.373535,686840
2012-01-12,1794.900024,1823.099976,1782.000000,1812.349976,1283.533325,489929
2012-01-13,1817.000000,1818.949951,1776.050049,1793.000000,1269.829224,419547
2012-01-16,1789.000000,1807.300049,1770.000000,1798.849976,1273.972778,312900
2012-01-17,1805.000000,1840.000000,1805.000000,1827.599976,1294.333618,423277
2012-01-18,1837.000000,1870.000000,1836.900024,1860.650024,1317.740234,378357
2012-01-19,1870.000000,1931.750000,1870.000000,1905.099976,1349.220215,758649
2012-01-20,1891.099976,1995.650024,1871.750000,1946.599976,1378.611206,1104305
2012-01-23,1949.000000,1949.000000,1861.699951,1875.150024,1328.009277,589238
2012-01-24,1872.000000,1913.500000,1828.800049,1888.099976,1337.180786,1001303
2012-01-25,1886.300049,1895.849976,1835.349976,1853.900024,1312.959717,684331
2012-01-27,1865.050049,1875.000000,1791.099976,1818.449951,1287.853760,1462110
2012-01-30,1808.000000,1839.000000,1800.099976,1824.349976,1292.032104,547227
2012-01-31,1845.000000,1870.000000,1811.900024,1862.500000,1319.050171,869800
2012-02-01,1870.000000,1945.000000,1865.599976,1932.150024,1368.377686,557111
2012-02-02,1950.250000,2007.800049,1943.900024,1970.849976,1395.785400,739646
2012-02-03,1982.000000,1989.000000,1940.050049,1952.900024,1383.073242,371878
2012-02-06,1961.000000,1992.900024,1952.000000,1962.500000,1389.871826,221871
2012-02-07,1965.000000,2014.000000,1940.699951,1949.849976,1380.912842,363421
2012-02-08,1958.000000,2009.449951,1953.050049,1998.199951,1415.155029,398783
2012-02-09,1983.000000,2035.000000,1970.699951,1993.849976,1412.074463,689667
2012-02-10,1985.000000,2024.000000,1953.400024,1970.500000,1395.537598,281152
2012-02-13,1975.000000,2019.949951,1963.500000,2012.750000,1425.459839,437763
2012-02-14,2012.099976,2090.000000,2012.099976,2081.800049,1474.361938,616998
2012-02-15,2090.649902,2100.199951,2068.000000,2094.050049,1483.037720,349374
2012-02-16,2088.550049,2203.149902,2002.000000,2190.050049,1551.026489,480246
2012-02-17,2200.000000,2209.949951,2093.350098,2109.350098,1493.873169,514786
2012-02-21,2121.500000,2157.000000,2121.500000,2147.250000,1520.714844,276256
2012-02-22,2127.149902,2198.000000,2127.149902,2140.300049,1515.792725,273429
2012-02-23,2159.949951,2167.899902,2066.800049,2088.850098,1479.354858,582980
2012-02-24,2095.000000,2109.000000,2057.250000,2072.899902,1468.058594,257059
2012-02-27,2087.000000,2087.000000,1915.000000,1931.900024,1368.200195,635329
2012-02-28,1941.000000,1986.900024,1941.000000,1966.199951,1392.492065,412572
2012-02-29,1984.000000,2015.000000,1930.000000,1946.099976,1378.257080,462912
2012-03-01,1957.000000,1982.400024,1920.000000,1937.550049,1372.202026,887044
2012-03-02,1969.900024,1975.849976,1926.300049,1941.449951,1374.963867,553634
2012-03-03,null,null,null,null,null,null
2012-03-05,1948.000000,1948.000000,1873.099976,1886.949951,1336.366211,656672
2012-03-06,1890.000000,1932.300049,1810.050049,1871.699951,1325.565918,738094
2012-03-07,1890.000000,1899.800049,1871.699951,1889.599976,1338.243164,609323
2012-03-09,1923.000000,1933.900024,1890.000000,1911.050049,1353.434204,507925
2012-03-12,1921.050049,1942.000000,1904.699951,1932.550049,1368.661011,432510
2012-03-13,1940.099976,1974.500000,1940.099976,1962.949951,1390.190552,421131
2012-03-14,1982.000000,1995.000000,1950.099976,1972.550049,1396.989746,283383
2012-03-15,1978.000000,1978.000000,1919.000000,1966.400024,1392.633911,302877
2012-03-16,1982.000000,1982.000000,1925.099976,1957.000000,1385.976807,358530
2012-03-19,1959.300049,1964.800049,1920.150024,1941.449951,1374.963867,222531
2012-03-20,1949.949951,1958.000000,1890.500000,1931.900024,1368.200195,337667
2012-03-21,1944.699951,1944.699951,1910.000000,1926.400024,1364.305298,230468
2012-03-22,1925.000000,1961.000000,1925.000000,1945.250000,1377.655151,387490
2012-03-23,1940.150024,2058.800049,1922.000000,2017.449951,1428.787964,693429
2012-03-26,2023.849976,2023.849976,1958.000000,2000.750000,1416.960938,369262
